date,prec,et,temp,tm
2010-03-28,0.08,1.960008104,30.58542284,28.87381256
2010-03-29,1.11,1.522129967,30.64593769,28.87381256
2010-03-30,8.59,1.567807824,30.14869456,28.87381256
2010-03-31,0.45,1.544090724,29.40884042,28.87381256
2010-04-01,0.95,1.697280683,30.11558856,28.87381256
2010-04-02,2.68,1.644568213,30.92624169,28.87381256
2010-04-03,4.18,1.75201949,28.94132698,28.87381256
2010-04-04,1.48,1.095101434,29.47901091,28.87381256
2010-04-05,23.08,1.583750857,28.82236652,28.87381256
2010-04-06,12.69,1.595749309,28.63008431,28.87381256
2010-04-07,19.49,1.426319167,28.40950649,28.87381256
2010-04-08,33.02,1.484689474,29.27777584,28.87381256
2010-04-09,12.22,1.39585014,29.06470779,28.87381256
2010-04-10,0.66,1.46524314,28.60498495,28.87381256
2010-04-11,36.26,1.260507438,28.21720734,28.87381256
2010-04-12,3.38,1.367187011,28.3510479,28.87381256
2010-04-13,5.91,1.620729471,28.22988724,28.87381256
2010-04-14,18.7,1.605321306,28.80374536,28.87381256
2010-04-15,3.1,1.587590615,27.92437873,28.87381256
2010-04-16,8.55,1.407811129,28.83587859,28.87381256
2010-04-17,1.51,1.680088595,28.2355136,28.87381256
2010-04-18,0.42,1.752143036,30.47044328,28.87381256
2010-04-19,20.9,1.677816108,28.82575526,28.87381256
2010-04-20,0.17,1.496157264,29.72206744,28.87381256
2010-04-21,4.42,1.780093891,30.33822231,28.87381256
2010-04-22,0.03,1.549655913,30.85308988,28.87381256
2010-04-23,0.2,2.015653818,32.44656192,28.87381256
2010-04-24,2.64,1.858722921,31.16578799,28.87381256
2010-04-25,2.03,1.683451949,30.66006339,28.87381256
2010-04-26,39.64,1.503409029,27.95016147,28.87381256
2010-04-27,1.12,0.595609901,27.99777755,28.87381256
